(320 kb),"(Amount in ₹ crore, Rate in Per cent)",Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,MONEY MARKETS@,RBI OPERATIONS@,RBI OPERATIONS@.1,RBI OPERATIONS@.2,RBI OPERATIONS@.3,RBI OPERATIONS@.4,RBI OPERATIONS@.5,RESERVE POSITION@,RESERVE POSITION@.1,RESERVE POSITION@.2,RESERVE POSITION@.3,RESERVE POSITION@.4,RESERVE POSITION@.5
Date: 08 Aug 2025,,,,,,,,,,,,,,,,,,
"Money Market Operations as on August 07, 2025",,,,,,,,,,,,,,,,,,
"(Amount in ₹ crore, Rate in Per cent) MONEY MARKETS@ Volume  (One Leg) Weighted  Average Rate Range A. Overnight Segment (I+II+III+IV) 5,97,533.33 5.35 0.01-6.45 I. Call Money 20,333.19 5.44 4.75-6.00 II. Triparty Repo 3,75,738.90 5.39 5.30-6.00 III. Market Repo 1,97,916.24 5.26 0.01-6.00 IV. Repo in Corporate Bond 3,545.00 5.52 5.47-6.45 B. Term Segment I. Notice Money** 338.04 5.34 4.95-5.40 II. Term Money@@ 628.00 - 5.60-6.00 III. Triparty Repo 3,257.25 5.50 5.31-5.75 IV. Market Repo 407.00 5.64 5.64-5.64 V. Repo in Corporate Bond 0.00 - - RBI OPERATIONS@ Auction Date Tenor (Days) Maturity Date Amount Current Rate /  Cut off Rate C. Liquidity Adjustment Facility (LAF), Marginal Standing Facility (MSF) & Standing Deposit Facility (SDF) I. Today's Operations 1. Fixed Rate 2. Variable Rate& (I) Main Operation (a) Repo (b) Reverse Repo (II) Fine Tuning Operations (a) Repo (b) Reverse Repo Thu, 07/08/2025 1 Fri, 08/08/2025 49,055.00 5.49 3. MSF# Thu, 07/08/2025 1 Fri, 08/08/2025 11,066.00 5.75 4. SDFΔ# Thu, 07/08/2025 1 Fri, 08/08/2025 86,154.00 5.25 5. Net liquidity injected from today's operations [injection (+)/absorption (-)]* -1,24,143.00 II. Outstanding Operations 1. Fixed Rate 2. Variable Rate& (I) Main Operation (a) Repo (b) Reverse Repo (II) Fine Tuning Operations (a) Repo (b) Reverse Repo Wed, 06/08/2025 2 Fri, 08/08/2025 67,755.00 5.49 Fri, 01/08/2025 7 Fri, 08/08/2025 1,71,795.00 5.49 3. MSF# 4. SDFΔ# D. Standing Liquidity Facility (SLF) Availed from RBI$ 8,761.24 E. Net liquidity injected from outstanding operations [injection (+)/absorption (-)]* -2,30,788.76 F. Net liquidity injected (outstanding including today's operations) [injection (+)/absorption (-)]* -3,54,931.76 RESERVE POSITION@ G. Cash Reserves Position of Scheduled Commercial Banks (i) Cash balances with RBI as on August 07, 2025 9,19,729.72 (ii) Average daily cash reserve requirement for the fortnight ending August 08, 2025 9,56,146.00 H. Government of India Surplus Cash Balance Reckoned for Auction as on¥ August 07, 2025 0.00 I. Net durable liquidity [surplus (+)/deficit (-)] as on July 11, 2025 5,38,578.00 @ Based on Reserve Bank of India (RBI) / Clearing Corporation of India Limited (CCIL). - Not Applicable / No Transaction. ** Relates to uncollateralized transactions of 2 to 14 days tenor. @@ Relates to uncollateralized transactions of 15 days to one year tenor. $ Includes refinance facilities extended by RBI. & As per the Press Release No. 2019-2020/1900 dated February 06, 2020. Δ As per the Press Release No. 2022-2023/41 dated April 08, 2022. * Net liquidity is calculated as Repo+MSF+SLF-Reverse Repo-SDF. ¥ As per the Press Release No. 2014-2015/1971 dated March 19, 2015. # As per the Press Release No. 2023-2024/1548 dated December 27, 2023. Ajit Prasad Deputy General Manager  (Communications) Press Release: 2025-2026/863",,,,,,,,,,,,,,,,,,
,"MONEY MARKETS@ Volume  (One Leg) Weighted  Average Rate Range A. Overnight Segment (I+II+III+IV) 5,97,533.33 5.35 0.01-6.45 I. Call Money 20,333.19 5.44 4.75-6.00 II. Triparty Repo 3,75,738.90 5.39 5.30-6.00 III. Market Repo 1,97,916.24 5.26 0.01-6.00 IV. Repo in Corporate Bond 3,545.00 5.52 5.47-6.45 B. Term Segment I. Notice Money** 338.04 5.34 4.95-5.40 II. Term Money@@ 628.00 - 5.60-6.00 III. Triparty Repo 3,257.25 5.50 5.31-5.75 IV. Market Repo 407.00 5.64 5.64-5.64 V. Repo in Corporate Bond 0.00 - -",,,,,,,,,,,,,,,,,
,"RBI OPERATIONS@ Auction Date Tenor (Days) Maturity Date Amount Current Rate /  Cut off Rate C. Liquidity Adjustment Facility (LAF), Marginal Standing Facility (MSF) & Standing Deposit Facility (SDF) I. Today's Operations 1. Fixed Rate 2. Variable Rate& (I) Main Operation (a) Repo (b) Reverse Repo (II) Fine Tuning Operations (a) Repo (b) Reverse Repo Thu, 07/08/2025 1 Fri, 08/08/2025 49,055.00 5.49 3. MSF# Thu, 07/08/2025 1 Fri, 08/08/2025 11,066.00 5.75 4. SDFΔ# Thu, 07/08/2025 1 Fri, 08/08/2025 86,154.00 5.25 5. Net liquidity injected from today's operations [injection (+)/absorption (-)]* -1,24,143.00 II. Outstanding Operations 1. Fixed Rate 2. Variable Rate& (I) Main Operation (a) Repo (b) Reverse Repo (II) Fine Tuning Operations (a) Repo (b) Reverse Repo Wed, 06/08/2025 2 Fri, 08/08/2025 67,755.00 5.49 Fri, 01/08/2025 7 Fri, 08/08/2025 1,71,795.00 5.49 3. MSF# 4. SDFΔ# D. Standing Liquidity Facility (SLF) Availed from RBI$ 8,761.24 E. Net liquidity injected from outstanding operations [injection (+)/absorption (-)]* -2,30,788.76 F. Net liquidity injected (outstanding including today's operations) [injection (+)/absorption (-)]* -3,54,931.76",,,,,,,,,,,,,,,,,
,"RESERVE POSITION@ G. Cash Reserves Position of Scheduled Commercial Banks (i) Cash balances with RBI as on August 07, 2025 9,19,729.72 (ii) Average daily cash reserve requirement for the fortnight ending August 08, 2025 9,56,146.00 H. Government of India Surplus Cash Balance Reckoned for Auction as on¥ August 07, 2025 0.00 I. Net durable liquidity [surplus (+)/deficit (-)] as on July 11, 2025 5,38,578.00",,,,,,,,,,,,,,,,,
,,"(Amount in ₹ crore, Rate in Per cent)","(Amount in ₹ crore, Rate in Per cent)","(Amount in ₹ crore, Rate in Per cent)","(Amount in ₹ crore, Rate in Per cent)",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,Volume  (One Leg),Weighted  Average Rate,Range,,,,,,,,,,,,,
,,,597533.33,5.35,0.01-6.45,A. Overnight Segment (I+II+III+IV),,,,,,,,,,,,
,,,20333.19,5.44,4.75-6.00,I. Call Money,,,,,,,,,,,,
,,,375738.90,5.39,5.30-6.00,II. Triparty Repo,,,,,,,,,,,,
,,,197916.24,5.26,0.01-6.00,III. Market Repo,,,,,,,,,,,,
,,,3545.00,5.52,5.47-6.45,IV. Repo in Corporate Bond,,,,,,,,,,,,
,,,,,,B. Term Segment,,,,,,,,,,,,
,,,338.04,5.34,4.95-5.40,I. Notice Money**,,,,,,,,,,,,
,,,628.00,-,5.60-6.00,II. Term Money@@,,,,,,,,,,,,
,,,3257.25,5.50,5.31-5.75,III. Triparty Repo,,,,,,,,,,,,
,,,407.00,5.64,5.64-5.64,IV. Market Repo,,,,,,,,,,,,
,,,0.00,-,-,V. Repo in Corporate Bond,,,,,,,,,,,,
,,,,,,,,Auction Date,Tenor (Days),Maturity Date,Amount,Current Rate /  Cut off Rate,,,,,,
,,,,,,,"C. Liquidity Adjustment Facility (LAF), Marginal Standing Facility (MSF) & Standing Deposit Facility (SDF)","C. Liquidity Adjustment Facility (LAF), Marginal Standing Facility (MSF) & Standing Deposit Facility (SDF)","C. Liquidity Adjustment Facility (LAF), Marginal Standing Facility (MSF) & Standing Deposit Facility (SDF)","C. Liquidity Adjustment Facility (LAF), Marginal Standing Facility (MSF) & Standing Deposit Facility (SDF)","C. Liquidity Adjustment Facility (LAF), Marginal Standing Facility (MSF) & Standing Deposit Facility (SDF)","C. Liquidity Adjustment Facility (LAF), Marginal Standing Facility (MSF) & Standing Deposit Facility (SDF)",,,,,,
,,,,,,,I. Today's Operations,I. Today's Operations,I. Today's Operations,I. Today's Operations,I. Today's Operations,I. Today's Operations,,,,,,
,,,,,,,1. Fixed Rate,,,,,,,,,,,
,,,,,,,2. Variable Rate&,,,,,,,,,,,
,,,,,,,(I) Main Operation,,,,,,,,,,,
,,,,,,,(a) Repo,,,,,,,,,,,
,,,,,,,(b) Reverse Repo,,,,,,,,,,,
,,,,,,,(II) Fine Tuning Operations,,,,,,,,,,,
,,,,,,,(a) Repo,,,,,,,,,,,
,,,,,,,(b) Reverse Repo,"Thu, 07/08/2025",1,"Fri, 08/08/2025",49055.00,5.49,,,,,,
,,,,,,,3. MSF#,"Thu, 07/08/2025",1,"Fri, 08/08/2025",11066.00,5.75,,,,,,
,,,,,,,4. SDFΔ#,"Thu, 07/08/2025",1,"Fri, 08/08/2025",86154.00,5.25,,,,,,
,,,,,,,5. Net liquidity injected from today's operations [injection (+)/absorption (-)]*,,,,-124143.00,,,,,,,
,,,,,,,II. Outstanding Operations,II. Outstanding Operations,II. Outstanding Operations,II. Outstanding Operations,II. Outstanding Operations,II. Outstanding Operations,,,,,,
,,,,,,,1. Fixed Rate,,,,,,,,,,,
,,,,,,,2. Variable Rate&,,,,,,,,,,,
,,,,,,,(I) Main Operation,,,,,,,,,,,
,,,,,,,(a) Repo,,,,,,,,,,,
